오늘 기분이 정말 좋아요.,1
확실히 아침부터 실수를 해서 마음이 무거워.,0
주말에 실수를 해서 힘이 빠져.,0
요즘 괜히 돈이 새는 느낌이라서 기운이 없어. 아무것도 하기 싫어.,0
가족이랑 운동하고 나니 오늘은 잘 될 것 같아.,1
요즘 계획대로 진행돼서 에너지가 난다. 나 자신이 대견해.,1
계속 주말에 돈이 새는 느낌이라서 힘이 빠져.,0
자꾸 퇴근하고 실수를 해서 괜히 불안해. 괜히 자책하게 돼.,0
많이 학교에서 연락이 없어서 우울해. 아무것도 하기 싫어.,0
정말 퇴근하고 맛있는 걸 먹어서 에너지가 난다. 작은 행복이 쌓이는 느낌이야.,1
확실히 길에서 감기가 올 것 같아서 웃을 힘이 없다. 아무것도 하기 싫어.,0
생각보다 오늘은 좋은 소식을 들어서 괜히 신난다. 진짜 최고야.,1
조금 친구랑 기분 좋은 음악을 들어서 행복해.,1
괜히 버스를 놓쳐서 오늘은 진짜 별로야. 머리가 복잡해.,0
혼자 집중이 안 돼서 너무 지쳐.,0
솔직히 오늘은 생각이 많아져서 멘탈이 흔들린다.,0
길에서 감기가 올 것 같아서 우울해. 기분 전환이 필요해.,0
괜히 주말에 기대하던 일이 생겨서 행복해. 계속 이랬으면 좋겠다.,1
가족이랑 날씨가 맑아서 하루가 빛난다.,1
조금 주말에 괜히 예민해져서 기운이 없어. 기분 전환이 필요해.,0
아침부터 고마운 말을 들어서 기분이 좋아. 기분 전환 제대로 했어.,1
솔직히 주말에 괜히 예민해져서 힘이 빠져. 빨리 지나갔으면 좋겠다.,0
퇴근하고 해야 할 일을 끝내서 하루가 빛난다.,1
천천히 맛있는 걸 먹어서 괜히 신난다. 나 자신이 대견해.,1
확실히 친구랑 작은 성취가 있어서 기분이 한결 가벼워. 나 자신이 대견해.,1
괜히 뭔가 불안해서 힘이 빠져.,0
퇴근하고 해야 할 일이 쌓여서 힘이 빠져.,0
솔직히 집에 와서 괜히 예민해져서 괜히 불안해.,0
길에서 해야 할 일이 쌓여서 한숨이 나온다.,0
천천히 좋은 소식을 들어서 마음이 따뜻해.,1
친구랑 칭찬을 받아서 설렌다. 주변이 다 예뻐 보이네.,1
요즘 오늘은 생각이 많아져서 기운이 없어. 기분 전환이 필요해.,0
학교에서 문제가 해결돼서 만족스럽다.,1
길에서 감기가 올 것 같아서 웃을 힘이 없다. 빨리 지나갔으면 좋겠다.,0
괜히 가족이랑 기분 좋은 음악을 들어서 괜히 신난다. 계속 이랬으면 좋겠다.,1
조금 요즘 잠을 설쳐서 너무 지쳐.,0
방금 속상한 말을 들어서 웃을 힘이 없다.,0
정말 아침부터 시간이 여유로워서 기분이 한결 가벼워.,1
조금 괜히 돈이 새는 느낌이라서 한숨이 나온다.,0
길에서 괜히 예민해져서 기운이 없어.,0
계속 방금 뭔가 불안해서 마음이 무거워.,0
요즘 좋은 소식을 들어서 기분이 좋아. 계속 이랬으면 좋겠다.,1
의외로 퇴근하고 좋은 소식을 들어서 하루가 빛난다.,1
아침부터 감기가 올 것 같아서 괜히 불안해. 머리가 복잡해.,0
친구랑 시간이 여유로워서 뿌듯해.,1
퇴근하고 마음이 편해져서 행복해.,1
조금 요즘 실수를 해서 웃을 힘이 없다. 괜히 자책하게 돼.,0
길에서 생각이 많아져서 우울해. 기분 전환이 필요해.,0
계속 주말에 일이 꼬여서 기운이 없어. 기분 전환이 필요해.,0
의외로 방금 칭찬을 받아서 행복해.,1
천천히 시간이 여유로워서 하루가 빛난다. 작은 행복이 쌓이는 느낌이야.,1
오늘은 기대가 무너져서 기분이 꿀꿀해.,0
오늘은 오랜만에 쉬어서 설렌다.,1
괜히 아침부터 집중이 안 돼서 오늘은 진짜 별로야. 진짜 답답하다.,0
길에서 버스를 놓쳐서 기분이 꿀꿀해.,0
너무 괜히 해야 할 일이 쌓여서 멘탈이 흔들린다.,0
아침부터 계획대로 진행돼서 하루가 빛난다.,1
괜히 학교에서 산책을 하니 설렌다.,1
계속 해야 할 일이 쌓여서 힘이 빠져. 머리가 복잡해.,0
방금 해야 할 일이 쌓여서 기운이 없어.,0
가족이랑 날씨가 맑아서 오늘은 잘 될 것 같아.,1
요즘 계획이 틀어져서 오늘은 진짜 별로야. 괜히 자책하게 돼.,0
학교에서 고마운 말을 들어서 행복해. 기분 전환 제대로 했어.,1
주말에 날씨가 맑아서 만족스럽다.,1
괜히 버스를 놓쳐서 웃을 힘이 없다. 빨리 지나갔으면 좋겠다.,0
아침부터 잠을 설쳐서 짜증이 나. 기분 전환이 필요해.,0
확실히 혼자 몸이 피곤해서 멘탈이 흔들린다.,0
조금 아침부터 마음이 답답해서 괜히 불안해. 빨리 지나갔으면 좋겠다.,0
조금 집에 와서 돈이 새는 느낌이라서 멘탈이 흔들린다. 괜히 눈물이 날 것 같아.,0
괜히 아침부터 속상한 말을 들어서 기운이 없어.,0
길에서 속상한 말을 들어서 너무 지쳐.,0
퇴근하고 마음이 답답해서 기운이 없어.,0
혼자 생각이 많아져서 기분이 꿀꿀해. 잠깐 숨 좀 돌리고 싶다.,0
방금 몸이 피곤해서 짜증이 나. 잠깐 숨 좀 돌리고 싶다.,0
개인적으로 오늘은 기분 좋은 음악을 들어서 만족스럽다. 컨디션이 좋아서 더 좋다.,1
의외로 오랜만에 오랜만에 쉬어서 기분이 좋아. 컨디션이 좋아서 더 좋다.,1
주말에 비가 와서 멘탈이 흔들린다.,0
아침부터 일이 잘 풀려서 하루가 빛난다.,1
계속 혼자 뭔가 불안해서 한숨이 나온다. 잠깐 숨 좀 돌리고 싶다.,0
오늘은 계획이 틀어져서 기분이 꿀꿀해.,0
집에 와서 해야 할 일이 쌓여서 오늘은 진짜 별로야.,0
길에서 계획이 틀어져서 한숨이 나온다.,0
천천히 일이 잘 풀려서 뿌듯해. 나 자신이 대견해.,1
방금 맛있는 걸 먹어서 오늘은 잘 될 것 같아. 이런 날이 필요했어.,1
집에 와서 해야 할 일이 쌓여서 마음이 무거워.,0
천천히 산책을 하니 오늘은 잘 될 것 같아. 기분 전환 제대로 했어.,1
요즘 돈이 새는 느낌이라서 너무 지쳐.,0
친구랑 기분 좋은 음악을 들어서 뿌듯해.,1
퇴근하고 문제가 해결돼서 에너지가 난다. 진짜 최고야.,1
조금 방금 일이 잘 풀려서 웃음이 난다. 진짜 최고야.,1
괜히 방금 비가 와서 웃을 힘이 없다. 진짜 답답하다.,0
가족이랑 칭찬을 받아서 괜히 신난다.,1
자꾸 주말에 뭔가 불안해서 한숨이 나온다. 빨리 지나갔으면 좋겠다.,0
확실히 길에서 집중이 안 돼서 힘이 빠져.,0
괜히 기대가 무너져서 우울해. 빨리 지나갔으면 좋겠다.,0
퇴근하고 맛있는 걸 먹어서 하루가 빛난다. 주변이 다 예뻐 보이네.,1
자꾸 학교에서 해야 할 일이 쌓여서 멘탈이 흔들린다.,0
길에서 속상한 말을 들어서 멘탈이 흔들린다. 아무것도 하기 싫어.,0
아침부터 좋은 소식을 들어서 마음이 따뜻해.,1
요즘 속상한 말을 들어서 짜증이 나. 빨리 지나갔으면 좋겠다.,0
혼자 속상한 말을 들어서 한숨이 나온다.,0
아침부터 맛있는 걸 먹어서 기분이 좋아.,1
오늘은 기대가 무너져서 기분이 꿀꿀해. 기분 전환이 필요해.,0
학교에서 기분 좋은 음악을 들어서 에너지가 난다.,1
진짜 천천히 맛있는 걸 먹어서 행복해. 이런 날이 필요했어.,1
확실히 아침부터 약속이 취소돼서 기운이 없어. 기분 전환이 필요해.,0
의외로 학교에서 좋은 사람을 만나서 기분이 좋아. 컨디션이 좋아서 더 좋다.,1
학교에서 산책을 하니 오늘은 잘 될 것 같아.,1
괜히 혼자 해야 할 일이 쌓여서 오늘은 진짜 별로야.,0
집에 와서 해야 할 일이 쌓여서 웃을 힘이 없다.,0
주말에 일이 잘 풀려서 기분이 좋아. 나 자신이 대견해.,1
퇴근하고 일이 꼬여서 마음이 무거워. 진짜 답답하다.,0
아주 오늘은 맛있는 걸 먹어서 설렌다.,1
확실히 괜히 생각이 많아져서 우울해. 진짜 답답하다.,0
방금 친절을 받아서 기분이 한결 가벼워.,1
진짜 아침부터 감기가 올 것 같아서 기분이 꿀꿀해. 머리가 복잡해.,0
오늘은 오랜만에 쉬어서 마음이 따뜻해.,1
진짜 오늘은 작은 성취가 있어서 괜히 신난다. 진짜 최고야.,1
괜히 오늘은 돈이 새는 느낌이라서 너무 지쳐.,0
방금 친절을 받아서 만족스럽다.,1
계속 아침부터 생각이 많아져서 멘탈이 흔들린다.,0
퇴근하고 감기가 올 것 같아서 오늘은 진짜 별로야.,0
너무 요즘 계획이 틀어져서 기운이 없어. 괜히 자책하게 돼.,0
퇴근하고 칭찬을 받아서 에너지가 난다.,1
진짜 오늘은 시간이 여유로워서 행복해. 기분 전환 제대로 했어.,1
계속 비가 와서 멘탈이 흔들린다.,0
조금 주말에 뭔가 불안해서 너무 지쳐.,0
완전 퇴근하고 일이 잘 풀려서 만족스럽다.,1
정말 주말에 시간이 여유로워서 만족스럽다.,1
친구랑 맛있는 걸 먹어서 하루가 빛난다.,1
집에 와서 버스를 놓쳐서 멘탈이 흔들린다.,0
친구랑 일이 잘 풀려서 에너지가 난다. 진짜 최고야.,1
학교에서 마음이 편해져서 에너지가 난다. 이런 날이 필요했어.,1
오랜만에 고마운 말을 들어서 괜히 신난다. 이런 날이 필요했어.,1
조금 천천히 산책을 하니 행복해.,1
개인적으로 퇴근하고 친절을 받아서 오늘은 잘 될 것 같아.,1
집에 와서 좋은 소식을 들어서 괜히 신난다.,1
확실히 퇴근하고 일이 꼬여서 멘탈이 흔들린다.,0
요즘 집에 와서 기대가 무너져서 멘탈이 흔들린다.,0
생각보다 방금 운동하고 나니 기분이 한결 가벼워. 주변이 다 예뻐 보이네.,1
괜히 방금 마음이 편해져서 오늘은 잘 될 것 같아. 나 자신이 대견해.,1
오랜만에 맛있는 걸 먹어서 뿌듯해. 이런 날이 필요했어.,1
집에 와서 잠을 설쳐서 기분이 꿀꿀해. 괜히 눈물이 날 것 같아.,0
천천히 계획대로 진행돼서 기분이 한결 가벼워.,1
집에 와서 고마운 말을 들어서 괜히 신난다.,1
퇴근하고 시간이 여유로워서 설렌다. 계속 이랬으면 좋겠다.,1
진짜 퇴근하고 기분 좋은 음악을 들어서 뿌듯해. 이런 날이 필요했어.,1
주말에 문제가 해결돼서 만족스럽다. 기분 전환 제대로 했어.,1
주말에 친절을 받아서 기분이 한결 가벼워. 나 자신이 대견해.,1
너무 혼자 돈이 새는 느낌이라서 기운이 없어.,0
확실히 가족이랑 운동하고 나니 만족스럽다.,1
진짜 주말에 좋은 소식을 들어서 웃음이 난다.,1
정말 퇴근하고 문제가 해결돼서 오늘은 잘 될 것 같아. 주변이 다 예뻐 보이네.,1
조금 방금 감기가 올 것 같아서 마음이 무거워.,0
집에 와서 잠을 설쳐서 너무 지쳐.,0
많이 길에서 기대가 무너져서 기운이 없어. 빨리 지나갔으면 좋겠다.,0
생각보다 집에 와서 일이 잘 풀려서 괜히 신난다.,1
너무 괜히 집중이 안 돼서 기분이 꿀꿀해. 괜히 자책하게 돼.,0
괜히 괜히 돈이 새는 느낌이라서 마음이 무거워.,0
많이 계속 비가 와서 웃을 힘이 없다. 빨리 지나갔으면 좋겠다.,0
길에서 비가 와서 기운이 없어.,0
요즘 좋은 사람을 만나서 설렌다. 나 자신이 대견해.,1
너무 괜히 잠을 설쳐서 마음이 무거워.,0
괜히 주말에 잠을 설쳐서 기분이 꿀꿀해. 괜히 자책하게 돼.,0
아침부터 해야 할 일을 끝내서 에너지가 난다.,1
솔직히 혼자 기대가 무너져서 괜히 불안해. 아무것도 하기 싫어.,0
완전 오랜만에 계획대로 진행돼서 괜히 신난다.,1
확실히 오늘은 문제가 해결돼서 오늘은 잘 될 것 같아.,1
